vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(X),avg(Y),avg(Z),avg(u),avg(vtkOriginalPointIds),max(X),max(Y),max(Z),max(u),max(vtkOriginalPointIds),med(X),med(Y),med(Z),med(u),med(vtkOriginalPointIds),min(X),min(Y),min(Z),min(u),min(vtkOriginalPointIds),q1(X),q1(Y),q1(Z),q1(u),q1(vtkOriginalPointIds),q3(X),q3(Y),q3(Z),q3(u),q3(vtkOriginalPointIds),std(X),std(Y),std(Z),std(u),std(vtkOriginalPointIds),vtkValidPointMask
1,214,1,214,0,0.5,0.5,0,0.00292304,400,0.5,0.5,0,0.00292304,400,0.5,0.5,0,0.00292304,400,0.5,0.5,0,0.00292304,400,0.5,0.5,0,0.00292304,400,0.5,0.5,0,0.00292304,400,0,0,0,0,0,1
1,215,1,215,0,0.5,0.5,0,0.00299665,400,0.5,0.5,0,0.00299665,400,0.5,0.5,0,0.00299665,400,0.5,0.5,0,0.00299665,400,0.5,0.5,0,0.00299665,400,0.5,0.5,0,0.00299665,400,0,0,0,0,0,1
1,216,1,216,0,0.5,0.5,0,0.00307423,400,0.5,0.5,0,0.00307423,400,0.5,0.5,0,0.00307423,400,0.5,0.5,0,0.00307423,400,0.5,0.5,0,0.00307423,400,0.5,0.5,0,0.00307423,400,0,0,0,0,0,1
1,217,1,217,0,0.5,0.5,0,0.00315548,400,0.5,0.5,0,0.00315548,400,0.5,0.5,0,0.00315548,400,0.5,0.5,0,0.00315548,400,0.5,0.5,0,0.00315548,400,0.5,0.5,0,0.00315548,400,0,0,0,0,0,1
1,218,1,218,0,0.5,0.5,0,0.0032401,400,0.5,0.5,0,0.0032401,400,0.5,0.5,0,0.0032401,400,0.5,0.5,0,0.0032401,400,0.5,0.5,0,0.0032401,400,0.5,0.5,0,0.0032401,400,0,0,0,0,0,1
1,219,1,219,0,0.5,0.5,0,0.00332779,400,0.5,0.5,0,0.00332779,400,0.5,0.5,0,0.00332779,400,0.5,0.5,0,0.00332779,400,0.5,0.5,0,0.00332779,400,0.5,0.5,0,0.00332779,400,0,0,0,0,0,1
1,220,1,220,0,0.5,0.5,0,0.00341822,400,0.5,0.5,0,0.00341822,400,0.5,0.5,0,0.00341822,400,0.5,0.5,0,0.00341822,400,0.5,0.5,0,0.00341822,400,0.5,0.5,0,0.00341822,400,0,0,0,0,0,1
1,221,1,221,0,0.5,0.5,0,0.00351108,400,0.5,0.5,0,0.00351108,400,0.5,0.5,0,0.00351108,400,0.5,0.5,0,0.00351108,400,0.5,0.5,0,0.00351108,400,0.5,0.5,0,0.00351108,400,0,0,0,0,0,1
1,222,1,222,0,0.5,0.5,0,0.00360604,400,0.5,0.5,0,0.00360604,400,0.5,0.5,0,0.00360604,400,0.5,0.5,0,0.00360604,400,0.5,0.5,0,0.00360604,400,0.5,0.5,0,0.00360604,400,0,0,0,0,0,1
1,223,1,223,0,0.5,0.5,0,0.00370275,400,0.5,0.5,0,0.00370275,400,0.5,0.5,0,0.00370275,400,0.5,0.5,0,0.00370275,400,0.5,0.5,0,0.00370275,400,0.5,0.5,0,0.00370275,400,0,0,0,0,0,1
1,224,1,224,0,0.5,0.5,0,0.00380085,400,0.5,0.5,0,0.00380085,400,0.5,0.5,0,0.00380085,400,0.5,0.5,0,0.00380085,400,0.5,0.5,0,0.00380085,400,0.5,0.5,0,0.00380085,400,0,0,0,0,0,1
1,225,1,225,0,0.5,0.5,0,0.00389998,400,0.5,0.5,0,0.00389998,400,0.5,0.5,0,0.00389998,400,0.5,0.5,0,0.00389998,400,0.5,0.5,0,0.00389998,400,0.5,0.5,0,0.00389998,400,0,0,0,0,0,1
1,226,1,226,0,0.5,0.5,0,0.00399976,400,0.5,0.5,0,0.00399976,400,0.5,0.5,0,0.00399976,400,0.5,0.5,0,0.00399976,400,0.5,0.5,0,0.00399976,400,0.5,0.5,0,0.00399976,400,0,0,0,0,0,1
1,227,1,227,0,0.5,0.5,0,0.0040998,400,0.5,0.5,0,0.0040998,400,0.5,0.5,0,0.0040998,400,0.5,0.5,0,0.0040998,400,0.5,0.5,0,0.0040998,400,0.5,0.5,0,0.0040998,400,0,0,0,0,0,1
1,228,1,228,0,0.5,0.5,0,0.00419972,400,0.5,0.5,0,0.00419972,400,0.5,0.5,0,0.00419972,400,0.5,0.5,0,0.00419972,400,0.5,0.5,0,0.00419972,400,0.5,0.5,0,0.00419972,400,0,0,0,0,0,1
1,229,1,229,0,0.5,0.5,0,0.00429911,400,0.5,0.5,0,0.00429911,400,0.5,0.5,0,0.00429911,400,0.5,0.5,0,0.00429911,400,0.5,0.5,0,0.00429911,400,0.5,0.5,0,0.00429911,400,0,0,0,0,0,1
1,230,1,230,0,0.5,0.5,0,0.00439757,400,0.5,0.5,0,0.00439757,400,0.5,0.5,0,0.00439757,400,0.5,0.5,0,0.00439757,400,0.5,0.5,0,0.00439757,400,0.5,0.5,0,0.00439757,400,0,0,0,0,0,1
1,231,1,231,0,0.5,0.5,0,0.00449468,400,0.5,0.5,0,0.00449468,400,0.5,0.5,0,0.00449468,400,0.5,0.5,0,0.00449468,400,0.5,0.5,0,0.00449468,400,0.5,0.5,0,0.00449468,400,0,0,0,0,0,1
1,232,1,232,0,0.5,0.5,0,0.00459005,400,0.5,0.5,0,0.00459005,400,0.5,0.5,0,0.00459005,400,0.5,0.5,0,0.00459005,400,0.5,0.5,0,0.00459005,400,0.5,0.5,0,0.00459005,400,0,0,0,0,0,1
1,233,1,233,0,0.5,0.5,0,0.00468325,400,0.5,0.5,0,0.00468325,400,0.5,0.5,0,0.00468325,400,0.5,0.5,0,0.00468325,400,0.5,0.5,0,0.00468325,400,0.5,0.5,0,0.00468325,400,0,0,0,0,0,1
1,234,1,234,0,0.5,0.5,0,0.00477388,400,0.5,0.5,0,0.00477388,400,0.5,0.5,0,0.00477388,400,0.5,0.5,0,0.00477388,400,0.5,0.5,0,0.00477388,400,0.5,0.5,0,0.00477388,400,0,0,0,0,0,1
1,235,1,235,0,0.5,0.5,0,0.00486153,400,0.5,0.5,0,0.00486153,400,0.5,0.5,0,0.00486153,400,0.5,0.5,0,0.00486153,400,0.5,0.5,0,0.00486153,400,0.5,0.5,0,0.00486153,400,0,0,0,0,0,1
1,236,1,236,0,0.5,0.5,0,0.00494581,400,0.5,0.5,0,0.00494581,400,0.5,0.5,0,0.00494581,400,0.5,0.5,0,0.00494581,400,0.5,0.5,0,0.00494581,400,0.5,0.5,0,0.00494581,400,0,0,0,0,0,1
1,237,1,237,0,0.5,0.5,0,0.00502632,400,0.5,0.5,0,0.00502632,400,0.5,0.5,0,0.00502632,400,0.5,0.5,0,0.00502632,400,0.5,0.5,0,0.00502632,400,0.5,0.5,0,0.00502632,400,0,0,0,0,0,1
1,238,1,238,0,0.5,0.5,0,0.00510266,400,0.5,0.5,0,0.00510266,400,0.5,0.5,0,0.00510266,400,0.5,0.5,0,0.00510266,400,0.5,0.5,0,0.00510266,400,0.5,0.5,0,0.00510266,400,0,0,0,0,0,1
1,239,1,239,0,0.5,0.5,0,0.00517446,400,0.5,0.5,0,0.00517446,400,0.5,0.5,0,0.00517446,400,0.5,0.5,0,0.00517446,400,0.5,0.5,0,0.00517446,400,0.5,0.5,0,0.00517446,400,0,0,0,0,0,1
1,240,1,240,0,0.5,0.5,0,0.00524137,400,0.5,0.5,0,0.00524137,400,0.5,0.5,0,0.00524137,400,0.5,0.5,0,0.00524137,400,0.5,0.5,0,0.00524137,400,0.5,0.5,0,0.00524137,400,0,0,0,0,0,1
1,241,1,241,0,0.5,0.5,0,0.00530301,400,0.5,0.5,0,0.00530301,400,0.5,0.5,0,0.00530301,400,0.5,0.5,0,0.00530301,400,0.5,0.5,0,0.00530301,400,0.5,0.5,0,0.00530301,400,0,0,0,0,0,1
1,242,1,242,0,0.5,0.5,0,0.00535905,400,0.5,0.5,0,0.00535905,400,0.5,0.5,0,0.00535905,400,0.5,0.5,0,0.00535905,400,0.5,0.5,0,0.00535905,400,0.5,0.5,0,0.00535905,400,0,0,0,0,0,1
